start_id,end_id,type
doc:0,speech:0,same_as
doc:0,org:governing_council,mentions
doc:0,org:governing_council,mentions
doc:0,loc:florence_speech,mentions
doc:0,loc:florence_speech,mentions
doc:0,person:christine_lagarde,mentions
doc:0,person:christine_lagarde,mentions
doc:0,org:european_central_bank,mentions
doc:0,org:european_central_bank,mentions
doc:0,org:banca,mentions
doc:0,org:banca,mentions
doc:0,org:banca,mentions
doc:0,loc:florence,mentions
doc:0,loc:florence,mentions
doc:0,loc:florence,mentions
doc:0,person:italy_remarks,mentions
doc:0,date:october_2025,mentions
doc:0,person:fabio,mentions
doc:0,person:fabio,mentions
doc:0,person:michelangelo,mentions
doc:0,person:leonardo_da_vinci,mentions
doc:0,org:brunelleschi,mentions
doc:0,org:brunelleschi,mentions
doc:0,org:brunelleschi,mentions
doc:0,org:brunelleschi,mentions
doc:0,org:brunelleschi,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,loc:europe,mentions
doc:0,date:today,mentions
doc:0,date:the_late_1200s,mentions
doc:0,date:more_than_a_century,mentions
doc:0,org:florence,mentions
doc:0,org:florence,mentions
doc:0,org:florence,mentions
doc:0,org:the_black_death,mentions
doc:0,date:1418,mentions
doc:0,date:the_sixteen_years,mentions
doc:0,person:alcide_de_gasperi,mentions
doc:0,person:altiero_spinelli,mentions
doc:0,person:mario_draghi,mentions
doc:0,date:just_the_past_five_years,mentions
doc:0,date:the_1920s,mentions
doc:0,loc:us,mentions
doc:0,date:the_1930s,mentions
doc:0,date:the_1970s,mentions
doc:0,date:the_1990s,mentions
doc:0,org:florences_dante,mentions
doc:0,person:dante,mentions
speech:0,date:2025_10_29,held_on
speech:0,topic:palazzo_vecchio,discusses
speech:0,topic:occasion,discusses
speech:0,topic:external_governing_council_monetary_policy_meeting,discusses
speech:0,topic:florence_speech,discusses
speech:0,topic:christine_lagarde,discusses
person:christine_lagarde,speech:0,delivered
person:christine_lagarde,topic:palazzo_vecchio,covers
person:christine_lagarde,topic:occasion,covers
